Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Diamyd Medical TO 1 B,-0.50,12.63,-0.76,1.54,0.00,0.00,0.25,-0.49
Dignitana AB,-1.12,1.68,-2.10,2.52,0.00,0.00,0.76,-0.83
DistIT AB,13.68,0.24,2.97,27.54,0.00,0.00,1.28,0.11
Dome Energy AB,0.74,1.19,0.74,0.47,0.00,0.00,1.16,1.57
Doxa AB,-7.41,3.28,-0.32,0.21,0.00,0.00,8.12,-1.52
Drillcon AB,9.93,0.68,0.58,3.00,0.33,6.16,1.79,0.19
Effnetplattformen AB,-14.20,5.04,-0.50,3.95,0.00,0.00,1.80,-0.13
Ellen AB,-4.37,2.35,-0.07,0.07,0.00,0.00,4.37,-1.00
EnergyO Solutions Russia AB,1.82,1.74,9.39,23.89,0.00,0.00,0.72,0.39
Enersize Oyj,-43.21,302.50,-0.07,0.06,0.00,0.00,50.42,-1.17
Enorama Pharma AB,-43.96,81.04,-1.87,1.53,0.00,0.00,60.92,-1.22
Enzymatica AB,-11.67,5.92,-0.35,1.22,0.00,0.00,3.16,-0.29
ExpreS2ion Biotech Holding AB,-6.63,7.52,-1.04,0.68,0.00,0.00,11.50,-1.53
Fastighets AB Trianon ser. B,7.00,8.44,10.15,51.13,1.00,1.41,1.39,0.20
Filo Mining Corp,-53.17,0.00,-1.99,0.76,0.00,0.00,20.99,-2.62
Firefly AB,20.13,1.35,1.74,6.90,1.40,3.00,6.77,0.25
Flexion Mobile Plc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FlexQube AB,-75.00,7.69,-0.48,5.69,0.00,0.00,6.33,-0.08
Fluicell AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Footway Group AB Pref,0.00,0.00,0.00,3.58,8.00,6.78,32.96,0.00
Fram Skandinavien AB ser. B,-369.43,21.33,-0.28,8.31,0.00,0.00,12.45,-0.03
FRISQ Holding AB,-11.72,312.50,-1.53,11.36,0.00,0.00,1.65,-0.13
Gabather AB,-4.18,13.89,-2.39,8.88,0.00,0.00,1.13,-0.27
Gabather TO 2,-0.34,1.13,-2.39,8.88,0.00,0.00,0.09,-0.27
Gaming Corps AB,-1.67,1.14,-0.20,0.29,0.00,0.00,0.75,-0.69
Gaming Corps AB BTA,-0.95,1.00,-0.20,0.29,0.00,0.00,0.66,-0.69
Gapwaves AB B,-7.85,31.74,-1.48,1.45,0.00,0.00,10.07,-1.02
Gasporox AB,-10.42,5.96,-1.09,3.06,0.00,0.00,4.05,-0.36
Gasporox AB BTA,-9.82,5.14,-1.09,3.06,0.00,0.00,3.50,-0.36
Generic Sweden AB,14.59,1.26,0.33,2.74,1.00,18.52,1.97,0.12
Genova Property Group AB Pref,0.00,0.00,0.00,19.40,10.50,8.30,6.52,0.00
Genovis AB,-34.55,9.27,-0.14,0.30,0.00,0.00,12.67,-0.47
Global Gaming 555 AB,10.48,2.48,2.73,5.79,1.40,4.90,4.94,0.47
GomSpace Group AB,-32.78,18.32,-2.09,7.06,0.00,0.00,9.70,-0.30
Greater Than AB,-14.12,16.78,-1.77,2.66,0.00,0.00,9.40,-0.67
Green Landscaping Holding AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GWS Production AB,-3.33,2.19,-0.84,1.44,0.00,0.00,1.94,-0.58
Götenehus Group AB ser. B,6.53,0.35,0.66,2.46,0.15,3.38,1.80,0.27
H&D Wireless Sweden Hol TO 1 B,-0.20,3.82,-1.13,2.92,0.00,0.00,0.08,-0.39
H&D Wireless Sweden Holding AB ser. B,-5.96,112.33,-1.13,2.92,0.00,0.00,2.31,-0.39
Hancap AB Pref A,0.00,0.00,0.00,-0.81,3.50,13.36,-32.35,0.00
Hanza Holding AB,15.00,0.25,0.69,12.80,0.00,0.00,1.15,0.05
Hedera Group AB,20.16,0.30,0.61,1.87,0.00,0.00,6.58,0.33
Heimstaden AB Pref,0.00,0.00,0.00,676.16,20.00,5.60,0.53,0.00
Heliospectra AB,-9.52,7.62,-0.94,1.38,0.00,0.00,5.80,-0.68
Hemcheck Sweden AB,-20.08,38.00,-0.53,2.53,0.00,0.00,4.21,-0.21
Hifab Group AB ser. B,15.11,0.37,0.21,1.25,0.12,4.41,2.18,0.17
House of Friends AB,16.90,0.51,0.05,1.53,0.00,0.00,1.10,0.03
Hoylu AB,-2.10,1.59,-2.31,2.41,0.00,0.00,1.89,-0.96
Hövding Sverige AB,-4.32,2.38,-3.49,2.31,0.00,0.00,5.87,-1.51
I-Tech AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iconovo AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Impact Coatings AB,-6.96,6.03,-0.96,2.40,0.00,0.00,2.44,-0.40
Indentive AB BTA B,-0.21,0.14,-6.39,3.42,0.00,0.00,0.39,-1.87
Indentive AB ser. B,-0.22,0.15,-6.39,3.42,0.00,0.00,0.41,-1.87
Indentive TO 1 2017/2019,0.00,0.00,-6.39,3.42,0.00,0.00,0.00,-1.87
InDex Pharmaceuticals Holding AB,-6.43,0.00,-1.16,1.68,0.00,0.00,4.25,-0.69
Infant Bacterial Therapeutics AB ser. B,-26.12,3 775.00,-5.78,22.82,0.00,0.00,6.62,-0.25
Infrea AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inission AB ser. B,11.41,0.30,4.12,16.44,0.00,0.00,2.80,0.25
Insplanet AB,81.54,1.26,0.18,3.21,1.00,9.43,3.30,0.06
Integrum AB ser. B,-8.06,5.80,-1.26,2.83,0.00,0.00,3.59,-0.45
Intervacc AB,-4.67,1.36,-0.83,9.85,0.00,0.00,0.45,-0.08
Intuitive Aerial AB,-0.03,0.06,-14.49,0.38,0.00,0.00,1.17,-38.13
Intuitive Aerial TO5,-0.01,0.01,-14.49,0.38,0.00,0.00,0.21,-38.13
Irisity AB,-47.17,4.67,-0.30,3.12,0.00,0.00,4.54,-0.10
IRLAB Therapeutics AB ser. A,-27.33,1 305.56,-8.33,22.14,0.00,0.00,10.61,-0.38
IRRAS AB,-7.06,35.82,-3.40,17.65,0.00,0.00,1.36,-0.19
Isofol Medical AB,-9.96,2 270.00,-2.28,10.85,0.00,0.00,2.09,-0.21
ISR Immune System Regulation Holding AB,-5.50,0.00,-1.15,0.81,0.00,0.00,7.80,-1.42
Italeaf S.p.A SDB,-0.12,0.00,-10.73,7.28,0.00,0.00,0.02,-1.47
IVISYS AB,-8.86,19.24,-0.77,0.98,0.00,0.00,5.69,-0.79
Jays Group AB,-3.75,2.76,-0.61,0.27,0.00,0.00,8.48,-2.26
